path,label,source_label,group,source_dataset,source_url,license,original_id,first_party
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_0_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/0_100.jpg,CC BY-SA 4.0,0_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_100_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/100_100.jpg,CC BY-SA 4.0,100_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_101_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/101_100.jpg,CC BY-SA 4.0,101_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_102_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/102_100.jpg,CC BY-SA 4.0,102_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_103_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/103_100.jpg,CC BY-SA 4.0,103_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_104_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/104_100.jpg,CC BY-SA 4.0,104_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_105_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/105_100.jpg,CC BY-SA 4.0,105_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_106_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/106_100.jpg,CC BY-SA 4.0,106_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_107_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/107_100.jpg,CC BY-SA 4.0,107_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_108_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/108_100.jpg,CC BY-SA 4.0,108_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_109_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/109_100.jpg,CC BY-SA 4.0,109_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_10_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/10_100.jpg,CC BY-SA 4.0,10_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_110_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/110_100.jpg,CC BY-SA 4.0,110_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_111_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/111_100.jpg,CC BY-SA 4.0,111_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Braeburn_1_112_100.jpg,apple,Apple,fruits360:apple:Apple Braeburn 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Braeburn%201/112_100.jpg,CC BY-SA 4.0,112_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_0_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/0_100.jpg,CC BY-SA 4.0,0_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_10_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/10_100.jpg,CC BY-SA 4.0,10_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_11_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/11_100.jpg,CC BY-SA 4.0,11_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_12_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/12_100.jpg,CC BY-SA 4.0,12_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_13_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/13_100.jpg,CC BY-SA 4.0,13_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_147_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/147_100.jpg,CC BY-SA 4.0,147_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_148_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/148_100.jpg,CC BY-SA 4.0,148_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_14_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/14_100.jpg,CC BY-SA 4.0,14_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_151_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/151_100.jpg,CC BY-SA 4.0,151_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_152_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/152_100.jpg,CC BY-SA 4.0,152_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_153_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/153_100.jpg,CC BY-SA 4.0,153_100.jpg,False
data/raw_acquired/fruits360/apple/fruits360_Apple_Golden_1_154_100.jpg,apple,Apple,fruits360:apple:Apple Golden 1,fruits360,https://github.com/fruits-360/fruits-360-100x100/blob/main/Training/Apple%20Golden%201/154_100.jpg,CC BY-SA 4.0,154_100.jpg,False
